day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
Wednesday,cicflowmeter-fixed,nfstream,BENIGN,319270,234502,33,22471,62264
Wednesday,cicflowmeter-fixed,nfstream,DoS GoldenEye,7780,7646,0,2,132
Wednesday,cicflowmeter-fixed,nfstream,DoS Hulk,159138,179,0,158942,17
Wednesday,cicflowmeter-fixed,nfstream,DoS Slowhttptest,5112,3927,0,1120,65
Wednesday,cicflowmeter-fixed,nfstream,DoS slowloris,5731,3903,0,1315,513
Wednesday,cicflowmeter-fixed,nfstream,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-fixed,zeek,ALL,497042,456448,15703,24462,429
Wednesday,cicflowmeter-fixed,zeek,BENIGN,319270,289831,8683,20360,396
Wednesday,cicflowmeter-fixed,zeek,DoS GoldenEye,7780,7467,73,216,24
Wednesday,cicflowmeter-fixed,zeek,DoS Hulk,159138,154540,3969,627,2
Wednesday,cicflowmeter-fixed,zeek,DoS Slowhttptest,5112,1002,2976,1134,0
Wednesday,cicflowmeter-fixed,zeek,DoS slowloris,5731,3608,2,2114,7
Wednesday,cicflowmeter-fixed,zeek,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-fixed,tranalyzer,ALL,497042,453744,984,34721,7593
Wednesday,cicflowmeter-fixed,tranalyzer,BENIGN,319270,281043,699,29980,7548
Wednesday,cicflowmeter-fixed,tranalyzer,DoS GoldenEye,7780,7306,0,458,16
Wednesday,cicflowmeter-fixed,tranalyzer,DoS Hulk,159138,158448,285,401,4
Wednesday,cicflowmeter-fixed,tranalyzer,DoS Slowhttptest,5112,3337,0,1757,18
Wednesday,cicflowmeter-fixed,tranalyzer,DoS slowloris,5731,3610,0,2114,7
Wednesday,cicflowmeter-fixed,tranalyzer,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-fixed,cicflowmeter-orig,ALL,497042,140782,73013,7459,275788
Wednesday,cicflowmeter-fixed,cicflowmeter-orig,BENIGN,319270,86747,33758,151,198614
Wednesday,cicflowmeter-fixed,cicflowmeter-orig,DoS GoldenEye,7780,4726,2843,0,211
Wednesday,cicflowmeter-fixed,cicflowmeter-orig,DoS Hulk,159138,39711,36401,7306,75720
Wednesday,cicflowmeter-fixed,cicflowmeter-orig,DoS Slowhttptest,5112,4491,4,0,617
Wednesday,cicflowmeter-fixed,cicflowmeter-orig,DoS slowloris,5731,5100,5,0,626
Wednesday,cicflowmeter-fixed,cicflowmeter-orig,Heartbleed,11,7,2,2,0
Wednesday,cicflowmeter-fixed,argus,ALL,497042,176988,0,319643,411
Wednesday,cicflowmeter-fixed,argus,BENIGN,319270,176980,0,141901,389
Wednesday,cicflowmeter-fixed,argus,DoS GoldenEye,7780,0,0,7764,16
Wednesday,cicflowmeter-fixed,argus,DoS Hulk,159138,0,0,159137,1
Wednesday,cicflowmeter-fixed,argus,DoS Slowhttptest,5112,8,0,5104,0
Wednesday,cicflowmeter-fixed,argus,DoS slowloris,5731,0,0,5726,5
Wednesday,cicflowmeter-fixed,argus,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-fixed,go-flows,ALL,497042,298371,113032,22612,63027
Wednesday,cicflowmeter-fixed,go-flows,BENIGN,319270,210581,26260,20138,62291
Wednesday,cicflowmeter-fixed,go-flows,DoS GoldenEye,7780,7646,0,2,132
Wednesday,cicflowmeter-fixed,go-flows,DoS Hulk,159138,72314,86772,26,26
Wednesday,cicflowmeter-fixed,go-flows,DoS Slowhttptest,5112,3927,0,1120,65
Wednesday,cicflowmeter-fixed,go-flows,DoS slowloris,5731,3903,0,1315,513
Wednesday,cicflowmeter-fixed,go-flows,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-fixed,yaf,ALL,497042,279527,112807,43714,60994
Wednesday,cicflowmeter-fixed,yaf,BENIGN,319270,192471,26242,39798,60759
Wednesday,cicflowmeter-fixed,yaf,DoS GoldenEye,7780,7500,0,148,132
Wednesday,cicflowmeter-fixed,yaf,DoS Hulk,159138,72042,86565,519,12
Wednesday,cicflowmeter-fixed,yaf,DoS Slowhttptest,5112,3922,0,1124,66
Wednesday,cicflowmeter-fixed,yaf,DoS slowloris,5731,3592,0,2114,25
Wednesday,cicflowmeter-fixed,yaf,Heartbleed,11,0,0,11,0
Wednesday,cicflowmeter-fixed,joy,ALL,497042,418571,67271,1753,9447
Wednesday,cicflowmeter-fixed,joy,BENIGN,319270,254930,53224,1753,9363
Wednesday,cicflowmeter-fixed,joy,DoS GoldenEye,7780,4977,2775,0,28
Wednesday,cicflowmeter-fixed,joy,DoS Hulk,159138,155647,3487,0,4
Wednesday,cicflowmeter-fixed,joy,DoS Slowhttptest,5112,601,4466,0,45
Wednesday,cicflowmeter-fixed,joy,DoS slowloris,5731,2415,3309,0,7
Wednesday,cicflowmeter-fixed,joy,Heartbleed,11,1,10,0,0
Wednesday,argus,nfstream,ALL,226800,163061,30322,0,33417
Wednesday,argus,nfstream,BENIGN,212683,160100,19166,0,33417
Wednesday,argus,nfstream,DoS Hulk,6004,2938,3066,0,0
Wednesday,argus,nfstream,DoS Slowhttptest,4217,8,4209,0,0
Wednesday,argus,nfstream,DoS slowloris,3895,14,3881,0,0
Wednesday,argus,nfstream,Heartbleed,1,1,0,0,0
Wednesday,argus,zeek,ALL,226800,184783,41965,0,52
Wednesday,argus,zeek,BENIGN,212683,184774,27857,0,52
Wednesday,argus,zeek,DoS Hulk,6004,0,6004,0,0
Wednesday,argus,zeek,DoS Slowhttptest,4217,8,4209,0,0
Wednesday,argus,zeek,DoS slowloris,3895,0,3895,0,0
Wednesday,argus,zeek,Heartbleed,1,1,0,0,0
