day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
tuesday-pub,tranalyzer,cicflowmeter-fixed,Reconnaissance,6320,6320,0,0,0
tuesday-pub,tranalyzer,argus,ALL,15858,14521,0,1288,49
tuesday-pub,tranalyzer,argus,BENIGN,9538,8201,0,1288,49
tuesday-pub,tranalyzer,argus,Reconnaissance,6320,6320,0,0,0
tuesday-pub,tranalyzer,go-flows,ALL,15858,14184,1474,0,200
tuesday-pub,tranalyzer,go-flows,BENIGN,9538,8839,500,0,199
tuesday-pub,tranalyzer,go-flows,Reconnaissance,6320,5345,974,0,1
tuesday-pub,tranalyzer,yaf,ALL,15858,14176,1469,12,201
tuesday-pub,tranalyzer,yaf,BENIGN,9538,8831,495,12,200
tuesday-pub,tranalyzer,yaf,Reconnaissance,6320,5345,974,0,1
tuesday-pub,tranalyzer,joy,ALL,15858,8731,1128,20,5979
tuesday-pub,tranalyzer,joy,BENIGN,9538,2435,1104,20,5979
tuesday-pub,tranalyzer,joy,Reconnaissance,6320,6296,24,0,0
tuesday-pub,cicflowmeter-orig,nfstream,ALL,25923,2408,42,6467,17006
tuesday-pub,cicflowmeter-orig,nfstream,BENIGN,14602,1042,42,4873,8645
tuesday-pub,cicflowmeter-orig,nfstream,Reconnaissance,11321,1366,0,1594,8361
tuesday-pub,cicflowmeter-orig,zeek,ALL,25923,2393,14,6490,17026
tuesday-pub,cicflowmeter-orig,zeek,BENIGN,14602,1024,14,4906,8658
tuesday-pub,cicflowmeter-orig,zeek,Reconnaissance,11321,1369,0,1584,8368
tuesday-pub,cicflowmeter-orig,tranalyzer,ALL,25923,2400,0,6504,17019
tuesday-pub,cicflowmeter-orig,tranalyzer,BENIGN,14602,1031,0,4920,8651
tuesday-pub,cicflowmeter-orig,tranalyzer,Reconnaissance,11321,1369,0,1584,8368
tuesday-pub,cicflowmeter-orig,cicflowmeter-fixed,ALL,25923,3896,118,4738,17171
tuesday-pub,cicflowmeter-orig,cicflowmeter-fixed,BENIGN,14602,2527,118,3154,8803
tuesday-pub,cicflowmeter-orig,cicflowmeter-fixed,Reconnaissance,11321,1369,0,1584,8368
tuesday-pub,cicflowmeter-orig,argus,ALL,25923,2787,0,6422,16714
